"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Dominican Republic","DOM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.56941","23.40074","20.03771","","",
"Algeria","DZA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","170.18968","","","","","","","","","","","","821.66519","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","425.444542669836","442.520208092577","372.820348019524","397.751558821605","496.586860431784","501.515060371933","542.808826187397","615.212019064266","709.488308210953","785.040321989598","920.13701826978","980.660561223548","1185.38385816256","695.473951278306","910.471570028839","907.993800815338","1044.86502001173","988.180504000522","1113.22619756965","1067.01889080476","1067.2876605696","1033.74202275589","1092.61398843962","1258.99559865245","1373.74587830065","1574.67143354107","1783.36902463718","","",
"Early-demographic dividend","EAR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180.559050459637","","","","","","","","","","309.51212176135","","","329.8411445102","","385.951221292971","","","","",
"East Asia & Pacific","EAS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","897.965464886747","882.953257066031","870.800992244599","859.228160955118","934.012770901935","910.541777717813","978.439383939929","1065.63443378871","1220.68347119439","1249.43827056642","1454.3677983571","1449.07380228845","1688.80907190376","1121.5524251653","1471.68017837487","1394.76569061372","1567.70345712545","1465.65650949496","1641.78544916549","1543.15542304269","1522.18771268532","1489.63812290506","1537.04680443279","1720.623629334","1839.09362625821","2102.69070325848","2304.40427945212","","",
"Europe & Central Asia (excluding high income)","ECA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","853.03083781493","854.447470353006","872.68310727538","883.440233769942","910.901283969754","939.393564223223","979.918658239196","998.978693058609","984.880767987918","987.035601539407","1042.01213404802","1089.14559968975","1155.87537683556","1211.18486549031","1310.15463772479","1398.02492657409","1483.914431765","","",
"Europe & Central Asia","ECS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2273.59941282051","2233.55618705017","2173.29491784748","2271.25667366714","2257.10025564865","2330.85842484525","2339.59243333508","2399.19395134292","2518.30559059584","2570.083702912","2561.3297482136","2561.2208367634","2631.5115134014","2653.3461413523","2706.06002307146","2732.31560965416","2809.38894330275","2845.94311812249","2884.34589116324","2992.51073138026","3011.65271380487","3129.11852943395","3093.26276114166","3181.24502772033","3191.1050267162","3346.27863438287","3467.62084404644","","",
"Ecuador","ECU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.01608","78.17639","83.52213","","","40.16034","42.23367","48.66397","","","70.53158","65.03887","103.21122","118.28189","141.13492","180.01141","281.58285","350.98087","400.26149","","","","","","","","","","",
"Egypt, Arab Rep.","EGY","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","591.25817","410.61485","405.67613","461.31975","461.59381","485.09394","505.91384","632.88092","631.04334","646.99675","636.00218","645.44342","776.5619","790.65531","808.43512","829.2751","845.3181","",
"Euro area","EMU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2129.10930509391","2091.54397113758","2155.89939007981","2221.90842955811","2367.15528228759","2393.14939156857","2489.44462533457","2482.58848889466","2713.1015090123","2740.36719339431","2857.32107723198","2973.35675931374","3145.74508689221","3219.83225320839","3329.04489368584","3365.59737403799","3495.99545660524","3553.35466367525","3588.71202739687","3749.57827560271","3838.79961591611","4009.41635397358","4168.41142801078","4325.26283590883","4381.73540596698","4573.77850464741","4792.34547246228","","",
"Eritrea","ERI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1286.11531","1336.11001","1487.41148","1512.15158","1874.09659","1947.04358","2014.3626","2195.10581","2356.18397","2516.19827","2613.24064","2720.22197","2850.35985","2876.51477","2879.99747","2775.30203","2693.39973","2623.64689","2614.44648","2622.53289","2712.74943","2847.3656","2984.29629","3048.15265","3051.64642","3229.64887","3387.49657","","",
"Estonia","EST","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2102.37983","2135.26422","1902.60055","1924.96306","2210.91668","2193.7335","2465.56876","2451.18781","2600.75424","2747.58209","2972.93057","3229.67528","3057.78287","3392.80584","3457.75569","3338.3961","3285.59355","3188.49188","3296.37262","3552.46537","3766.08146","3770.42028","3836.37969","4036.13127","4654.85436","","",
"Ethiopia","ETH","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.82551","","19.72278","","","41.46809","","","43.9301","","","","89.03843","","","","","","","",
"European Union","EUU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1960.44029809699","1985.27889639129","1971.53422435216","2090.02153372709","2117.3813117101","2234.08079178207","2264.20574096846","2337.73293497193","2526.9740529138","2600.79293808856","2689.75774496016","2770.56750145769","2932.41443919156","2986.45705049587","3088.082857303","3124.20635216897","3246.03288485884","3343.49590963891","3404.38921802772","3545.2977624552","3645.04905407233","3847.48755768484","4010.21477914675","4156.38236312723","4224.858723808","4425.4157665106","4648.56981393634","","",
"Fragile and conflict affected situations","FCS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7855.56192","7558.69966","7689.18984","7390.55027","7712.31606","7669.28354","7740.92101","7441.97757","7492.46096","7222.80668","7022.1865","6855.97138","6543.69993","6731.45341","6872.68968","7245.85837","7548.32504","7870.42868","8073.14567","","",
"Fiji","FJI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2656.27136","2646.3481","2654.5869","2723.93306","2902.95091","2971.39049","3100.95366","3184.63585","3320.66694","3297.84746","3405.181","3563.56539","3636.48425","3722.99987","3849.5934","3920.65709","4052.17043","4133.56261","4210.03605","4310.70957","4392.04699","4546.76212","4670.53241","4773.97249","4883.2219","5058.05374","5181.84576","","",
"Faroe Islands","FRO","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1824.74008","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2485.75438","2495.08042","2694.02542","2853.23907","2893.37563","3078.40932","3335.62719","3631.25708","3818.23524","4117.74512","4176.43751","4122.71329","4077.28663","4113.41572","4089.20558","3973.02377","4017.98198","4171.80763","4280.79983","4389.5625","4434.65942","4472.69458","","","","","","","",
"Georgia","GEO","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","599.63656","1126.78154","1359.02229","1383.73676","1381.93128","1544.7177","1788.43187","1799.17121","1702.96062","1808.99963","1768.16486","",
"Ghana","GHA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.80827","","","37.36945","","","","","87.47972","","","","","","","","","",
